0	100	0	0	0
20	0	100	0	100
40	0	100	0	100
60	0	100	0	100
80	0	100	0	100
100	0	100	0	100
120	0	100	0	100
140	0	100	0	100
160	0	100	0	100
180	0	100	0	100
200	0	100	0	100
220	0	100	0	100
240	0	100	0	100
260	0	99	0	99
280	0	97	0	97
300	0	96	0	96
320	0	96	0	96
340	0	94	0	94
360	0	93	0	93
380	0	92	0	92
400	0	91	0	91
420	0	82	9	91
440	0	69	22	91
460	0	64	27	91
480	0	57	34	91
500	0	44	47	91
520	0	36	54	90
540	0	31	59	90
560	0	20	70	90
580	0	9	80	89
600	0	1	88	89
620	0	0	89	89
640	0	0	88	88
660	0	0	87	87
680	0	0	85	85
700	16	0	84	84
720	132	0	83	83
740	315	37	83	120
760	279	180	83	263
780	116	343	82	425
800	17	442	81	523
820	0	459	81	540
840	0	459	80	539
860	0	459	78	537
880	0	459	76	535
900	0	459	76	535
920	0	459	75	534
940	0	459	75	534
960	0	457	73	530
980	0	457	72	529
1000	0	455	2	457
1020	0	454	2	456
1040	0	453	2	455
1060	0	451	2	453
1080	0	447	2	449
1100	0	444	2	446
1120	0	442	2	444
1140	0	439	2	441
1160	0	428	11	439
1180	0	398	36	434
1200	0	348	82	430
1220	0	304	124	428
1240	0	264	161	425
1260	0	215	204	419
1280	0	181	236	417
1300	0	149	265	414
1320	0	108	306	414
1340	0	68	338	406
1360	0	26	375	401
1380	0	9	278	287
1400	0	1	285	286
1420	0	0	283	283
1440	782	0	283	283
1460	2133	59	278	337
1480	2528	851	277	1128
1500	1679	2141	275	2416
1520	522	3298	270	3568
1540	45	3775	270	4045
1560	0	3820	270	4090
1580	0	3820	267	4087
1600	0	3820	265	4085
1620	0	3820	263	4083
1640	0	3820	263	4083
1660	0	3820	262	4082
1680	0	3810	262	4072
1700	0	3790	260	4050
1720	0	3765	257	4022
1740	0	3738	182	3920
1760	0	3704	181	3885
1780	0	3683	179	3862
1800	330	3657	179	3836
1820	1306	3647	179	3826
1840	1857	4035	178	4213
1860	1698	4868	178	5046
1880	737	5765	220	5985
1900	104	6232	361	6593
1920	0	6063	605	6668
1940	0	5756	891	6647
1960	0	5363	1256	6619
1980	0	4975	1615	6590
2000	0	4610	1952	6562
2020	0	4257	2269	6526
2040	0	3878	2607	6485
2060	0	3525	2901	6426
2080	0	3185	3197	6382
2100	0	2961	3318	6279
2120	0	2843	3382	6225
2140	0	2803	3384	6187
2160	1934	2782	3363	6145
2180	61543	2756	3339	6095
2200	109692	16671	3320	19991
2220	126252	16716	3283	19999
2240	63760	16712	3280	19992
2260	13224	16555	3330	19885
2280	0	15649	3480	19129
2300	0	14340	3680	18020
2320	0	13712	3906	17618
2340	0	13092	4122	17214
2360	0	12479	4352	16831
2380	0	11947	4550	16497
2400	0	11376	4758	16134
2420	0	10878	4930	15808
2440	0	10376	5122	15498
2460	0	9916	5263	15179
2480	0	9574	5271	14845
2500	0	9290	5269	14559
2520	0	9058	5243	14301
2540	104774	8815	5197	14012
2560	220517	14844	5145	19989
2580	267891	15163	5082	20245
2600	175852	15500	5338	20838
2620	51665	14914	6073	20987
